id,w,h
b104,1010,1007
b105,918,900
b106,575,677
b107,610,603
b108,646,750
b109,564,630
b113,651,753
b114,610,525
b115,500,800
b116,727,885
b117,500,605
b120,480,480
b121,650,750
b122,495,495
b123,415,495
b125,350,395
b126,605,965
b128,1000,1030
b129,990,1010
b130,595,595
b131,380,480
b132,524,760
b133,492,492
b134,348,380
b135,347,390
b136,490,410
b137,486,419
b138,500,420
b139,500,400
b141,485,420
b142,495,790
b143,533,553
b144,534,540
b145,540,530
b146,534,556
b147,390,501
b150,535,540
b159,435,485
b160,415,490
b162,425,490
b163,345,385
b170,508,508
b172,300,400
b182,345,380
b183,350,382
b185,503,398
b187,350,380
b188,511,511
b189,560,560
b190,400,610
b191,520,400
b192,350,380
b193,540,735
b194,355,380
b195,500,660
b196,352,502
b197,395,500
b198,350,520
b199,349,378
b200,520,750
b201,800,1230
b203,499,521
b204,450,450
b206,453,451
b207,505,505
b208,321,401
b209,321,403
b210,454,454
b212,450,450
b213,505,500
b214,520,520
b215,520,520
b216,515,520
b217,460,460
b219,510,510
b220,505,505
b221,465,460
b222,540,726
b223,333,409
b224,505,505
b225,505,505
b226,547,825
b227,505,505
b228,520,520
b230,550,550
b231,500,500
b232,504,502
b233,385,420
b234,553,555
b235,454,454
b236,330,413
b237,452,452
b238,335,410
b239,333,412
b240,330,415
b243,603,594
b244,590,1213
b245,565,590
b252,703,990
b253,560,590
b254,632,800
b255,550,569
b256,693,723
b257,510,1010
b259,689,711
b260,505,1000
b261,551,562
b262,330,432
b263,335,435
b264,660,740
b265,622,800
b266,505,515
b267,685,705
b268,803,985
b269,1040,1020
b271,552,571
b272,605,750
b273,335,435
b274,552,603
b275,550,600
b276,695,722
b277,770,800
b279,690,725
b280,605,620
b281,622,805
b283,944,940
b284,382,446
b285,991,1003
b286,650,750
b287,740,797
b288,730,795
b292,1023,1052
b293,330,435
b294,1200,1452
b295,681,752
b296,711,825
